"# Create a Letter Head

A Letter Head contains your organization's name, logo, address, etc which appears at the header and footer portion in documents. You can learn more about Setting up Letter Head in ERPNext here.
","# レターヘッドを作成する

レターヘッドには、組織名・ロゴ・住所などを登録します。これらは文書のヘッダーとフッターに表示されます。ERPNext でのレターヘッドの設定方法は、こちらで確認できます。
"
"# Create a Quotation

Let’s get started with business transactions by creating your first Quotation. You can create a Quotation for an existing customer or a prospect. It will be an approved document, with items you sell and the proposed price + taxes applied. After completing the instructions, you will get a Quotation in a ready to share print format.","# 見積を作成する

最初の見積を作成して、業務取引を始めましょう。既存の顧客に対しても、見込客に対しても作成できます。見積は、販売する品目と提示価格・税を記載した承認済みの文書です。手順を終えると、そのまま共有できる印刷書式の見積が得られます。"
"# Create a Supplier

Also known as Vendor, is a master at the center of your purchase transactions. Suppliers are linked in Request for Quotation, Purchase Orders, Receipts, and Payments. Suppliers can be either numbered or identified by name.

Through Supplier’s master, you can effectively track essentials like:
 - Supplier’s multiple address and contacts
 - Account Receivables
 - Credit Limit and Credit Period","# 仕入先を作成する

ベンダーとも呼ばれ、購買取引の中心となるマスタです。仕入先は見積依頼・発注・受領・支払と連携します。仕入先は採番することも、名称で識別することもできます。

仕入先マスタでは、次のような重要な情報を管理できます。
 - 仕入先の複数の住所と連絡先
 - 買掛金
 - 与信限度額と与信期間
"
"# Create a Supplier

Also known as Vendor, is a master at the center of your purchase transactions. Suppliers are linked in Request for Quotation, Purchase Orders, Receipts, and Payments. Suppliers can be either numbered or identified by name.

Through Supplier’s master, you can effectively track essentials like:
 - Supplier’s multiple address and contacts
 - Account Receivables
 - Credit Limit and Credit Period
","# 仕入先を作成する

ベンダーとも呼ばれ、購買取引の中心となるマスタです。仕入先は見積依頼・発注・受領・支払と連携します。仕入先は採番することも、名称で識別することもできます。

仕入先マスタでは、次のような重要な情報を管理できます。
 - 仕入先の複数の住所と連絡先
 - 買掛金
 - 与信限度額と与信期間
"
"# Create a Supplier
In this step we will create a **Supplier**. If you have already created a **Supplier** you can skip this step.","# 仕入先を作成する
この手順では **仕入先** を作成します。すでに **仕入先** を作成済みの場合は、この手順を飛ばせます。"
"# Create a Work Order

A Work Order or a Job order is given to the manufacturing shop floor by the Production Manager to initiate the manufacturing of a certain quantity of an item. Work Order carriers details of production Item, its BOM, quantities to be manufactured, and operations.

Through Work Order, you can track various production status like:

- Issue of raw-material to shop material
- Progress on each Workstation via Job Card
- Manufactured Quantity against Work Order","# 製造指示を作成する

製造指示は、ある品目を一定数量製造するために、製造管理者から製造現場へ出される指示です。製造指示には、製造対象の品目、その部品表、製造数量、作業の内容が含まれます。

製造指示では、次のような進捗を追跡できます。

- 現場への原材料の出庫
- ジョブカードによる作業所ごとの進捗
- 製造指示に対する製造済数量
"
"# Create a Work Order

A Work Order or a Job order is given to the manufacturing shop floor by the Production Manager to initiate the manufacturing of a certain quantity of an item. Work Order carriers details of production Item, its BOM, quantities to be manufactured, and operations.

Through Work Order, you can track various production status like:

- Issue of raw-material to shop material
- Progress on each Workstation via Job Card
- Manufactured Quantity against Work Order
","# 製造指示を作成する

製造指示は、ある品目を一定数量製造するために、製造管理者から製造現場へ出される指示です。製造指示には、製造対象の品目、その部品表、製造数量、作業の内容が含まれます。

製造指示では、次のような進捗を追跡できます。

- 現場への原材料の出庫
- ジョブカードによる作業所ごとの進捗
- 製造指示に対する製造済数量
"
"# Create an Item

Item is a product or a service offered by your company, or something you buy as a part of your supplies or raw materials.

Items are integral to everything you do in ERPNext - from billing, purchasing to managing inventory. Everything you buy or sell, whether it is a physical product or a service is an Item. Items can be stock, non-stock, variants, serialized, batched, assets, etc.","# 品目を作成する

品目とは、自社が提供する製品やサービス、あるいは仕入れる資材や原材料のことです。

品目は、請求から購買、在庫管理まで、ERPNext で行うあらゆる業務の基礎になります。売買するものは、物理的な製品であれサービスであれ、すべて品目です。品目には在庫品・非在庫品・バリアント・シリアル管理・バッチ管理・資産などがあります。
"
"# Create an Item

Item is a product or a service offered by your company, or something you buy as a part of your supplies or raw materials.

Items are integral to everything you do in ERPNext - from billing, purchasing to managing inventory. Everything you buy or sell, whether it is a physical product or a service is an Item. Items can be stock, non-stock, variants, serialized, batched, assets, etc.
","# 品目を作成する

品目とは、自社が提供する製品やサービス、あるいは仕入れる資材や原材料のことです。

品目は、請求から購買、在庫管理まで、ERPNext で行うあらゆる業務の基礎になります。売買するものは、物理的な製品であれサービスであれ、すべて品目です。品目には在庫品・非在庫品・バリアント・シリアル管理・バッチ管理・資産などがあります。
"
"# Create an Item
The Stock module deals with the movement of items.

In this step we will create an  [**Item**](https://docs.erpnext.com/docs/user/manual/en/stock/item).","# 品目を作成する
在庫モジュールは品目の移動を扱います。

この手順では [**品目**](https://docs.erpnext.com/docs/user/manual/en/stock/item) を作成します。"
"# Create first Purchase Order

Purchase Order is at the heart of your buying transactions. In ERPNext, Purchase Order can can be created against a Purchase Material Request (indent) and Supplier Quotation as well.  Purchase Orders is also linked to Purchase Receipt and Purchase Invoices, allowing you to keep a birds-eye view on your purchase deals.","# 最初の発注を作成する

発注は購買取引の中心となる文書です。ERPNext では、購買の資材要求やサプライヤー見積から発注を作成することもできます。発注は購買受領や仕入請求とも連携しており、購買取引の全体を俯瞰できます。

"
"# Create first Purchase Order

Purchase Order is at the heart of your buying transactions. In ERPNext, Purchase Order can can be created against a Purchase Material Request (indent) and Supplier Quotation as well.  Purchase Orders is also linked to Purchase Receipt and Purchase Invoices, allowing you to keep a birds-eye view on your purchase deals.

","# 最初の発注を作成する

発注は購買取引の中心となる文書です。ERPNext では、購買の資材要求やサプライヤー見積から発注を作成することもできます。発注は購買受領や仕入請求とも連携しており、購買取引の全体を俯瞰できます。

"
"# Create your first Purchase Invoice

A Purchase Invoice is a bill received from a Supplier for a product(s) or service(s) delivery to your company. You can track payables through Purchase Invoice and process Payment Entries against it.

Purchase Invoices can also be created against a Purchase Order or Purchase Receipt.","# 最初の仕入請求を作成する

仕入請求は、自社への製品やサービスの提供に対して仕入先から受け取る請求です。仕入請求で買掛金を管理し、これに対する支払エントリを処理できます。

仕入請求は、発注や購買受領から作成することもできます。"
"# Financial Statements

In ERPNext, you can get crucial financial reports like [Balance Sheet] and [Profit and Loss] statements with a click of a button. You can run in the report for a different period and plot analytics charts premised on statement data. For more reports, check sections like Financial Statements, General Ledger, and Profitability reports.

<b>[Check Accounting reports](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-reports)</b>","# 財務諸表

ERPNext では、[貸借対照表] や [損益計算書] といった重要な財務レポートをボタン 1 つで出力できます。期間を変えて実行したり、諸表のデータをもとに分析チャートを作成したりできます。ほかにも、財務諸表・総勘定元帳・収益性のレポート群を確認してください。

<b>[会計レポートを確認する](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-reports)</b>"
"# Fixed Asset Accounts

With the company, a host of fixed asset accounts are pre-configured. To ensure your asset transactions are leading to correct accounting entries, you can review and set up following asset accounts as per your business  requirements.
 - Fixed asset accounts (Asset account)
 - Accumulated depreciation
 - Capital Work in progress (CWIP) account
 - Asset Depreciation account (Expense account)","# 固定資産の勘定

会社を作成すると、固定資産関連の勘定が一通り設定されます。資産の取引が正しい会計仕訳になるよう、次の勘定を業務要件に合わせて確認・設定してください。
 - 固定資産勘定（資産勘定）
 - 減価償却累計額
 - 建設仮勘定（CWIP）
 - 減価償却費勘定（費用勘定）"
"# How Production Planning Works

Production Plan helps in production and material planning for the Items planned for manufacturing. These production items can be committed via Sales Order (to Customers) or Material Requests (internally).","# 生産計画の仕組み

生産計画は、製造対象の品目について生産と資材の計画を立てるためのものです。対象となる品目は、受注（顧客向け）または資材要求（社内向け）から引き当てられます。
"
"# How Production Planning Works

Production Plan helps in production and material planning for the Items planned for manufacturing. These production items can be committed via Sales Order (to Customers) or Material Requests (internally).
","# 生産計画の仕組み

生産計画は、製造対象の品目について生産と資材の計画を立てるためのものです。対象となる品目は、受注（顧客向け）または資材要求（社内向け）から引き当てられます。
"
"# Import Data from Spreadsheet

In ERPNext, you can easily migrate your historical data using spreadsheets. You can use it for migrating not just masters (like Customer, Supplier, Items), but also for transactions like (outstanding invoices, opening stock and accounting entries, etc).","# スプレッドシートからデータを取り込む

ERPNext では、スプレッドシートを使って過去のデータを簡単に移行できます。顧客・仕入先・品目といったマスタだけでなく、未決済の請求、期首在庫、会計仕訳などの取引データも取り込めます。"
# In Stock,# 在庫数
"# Introduction to Stock Entry
This video will give a quick introduction to [**Stock Entry**](https://docs.erpnext.com/docs/user/manual/en/stock/stock-entry).","# 在庫エントリの概要
この動画では [**在庫エントリ**](https://docs.erpnext.com/docs/user/manual/en/stock/stock-entry) の概要を説明します。"
"# Manage Stock Movements
Stock entry allows you to register the movement of stock for various purposes like transfer, received, issues, repacked, etc. To address issues related to theft and pilferages,  you can always ensure that the movement of goods happens against a document reference Stock Entry in ERPNext.

Let’s get a quick walk-through on the various scenarios covered in Stock Entry by watching [*this video*](https://www.youtube.com/watch?v=Njt107hlY3I).","# 在庫の移動を管理する
在庫エントリでは、移動・入庫・出庫・再梱包など、さまざまな目的の在庫の動きを登録できます。盗難や紛失に対応するため、ERPNext ではモノの移動を必ず在庫エントリという文書に紐づけて記録できます。

在庫エントリで扱えるさまざまな場面については、[*この動画*](https://www.youtube.com/watch?v=Njt107hlY3I) で概要をご覧ください。"
"# Navigation in ERPNext

Ease of navigating and browsing around the ERPNext is one of our core strengths. In the following video, you will learn how to reach a specific feature in ERPNext via module page or AwesomeBar.","# ERPNext での画面移動

ERPNext は、画面間の移動と探索のしやすさを大きな特長としています。次の動画では、モジュールページや検索バーから目的の機能にたどり着く方法を説明します。"
"# Purchase an Asset

Assets purchases process if done following the standard Purchase cycle. If capital work in progress is enabled in Asset Category, Asset will be created as soon as Purchase Receipt is created for it. You can quickly create a Purchase Receipt for Asset and see its impact on books of accounts.","# 資産を購入する

資産の購入は、通常の購買サイクルに沿って行います。資産カテゴリーで建設仮勘定を有効にしている場合、購買受領を作成した時点で資産が作成されます。資産の購買受領を作成して、会計帳簿への反映を確認してみましょう。"
# Req'd Items,# 必要品目数
"# Review Manufacturing Settings

In ERPNext, the Manufacturing module’s features are configurable as per your business needs. Manufacturing Settings is the place where you can set your preferences for:

- Capacity planning for allocating jobs to workstations
- Raw-material consumption based on BOM or actual
- Default values and over-production allowance","# 製造設定を確認する

ERPNext の製造モジュールの機能は、業務に合わせて設定できます。製造設定では、次のような既定値を設定します。

- 作業所への作業割り当てのための能力計画
- 部品表基準か実績基準かの原材料消費
- 既定値と過剰生産の許容範囲
"
"# Review Manufacturing Settings

In ERPNext, the Manufacturing module’s features are configurable as per your business needs. Manufacturing Settings is the place where you can set your preferences for:

- Capacity planning for allocating jobs to workstations
- Raw-material consumption based on BOM or actual
- Default values and over-production allowance
","# 製造設定を確認する

ERPNext の製造モジュールの機能は、業務に合わせて設定できます。製造設定では、次のような既定値を設定します。

- 作業所への作業割り当てのための能力計画
- 部品表基準か実績基準かの原材料消費
- 既定値と過剰生産の許容範囲
"
"# Review Stock Settings

In ERPNext, the Stock module’s features are configurable as per your business needs. Stock Settings is the place where you can set your preferences for:
- Default values for Item and Pricing
- Default valuation method for inventory valuation
- Set preference for serialization and batching of item
- Set tolerance for over-receipt and delivery of items","# 在庫設定を確認する

ERPNext の在庫モジュールの機能は、業務に合わせて設定できます。在庫設定では、次のような既定値を設定します。
- 品目と価格の既定値
- 在庫評価の既定の評価方法
- 品目のシリアル管理・バッチ管理の設定
- 入荷・出荷の過不足の許容範囲"
"# Sales Order

A Sales Order is a confirmation of an order from your customer. It is also referred to as Proforma Invoice.

Sales Order at the heart of your sales and purchase transactions. Sales Orders are linked in Delivery Note, Sales Invoices, Material Request, and Maintenance transactions. Through Sales Order, you can track fulfillment of the overall deal towards the customer.","# 受注

受注は、顧客からの注文を確定したものです。プロフォーマインボイスとも呼ばれます。

受注は販売・購買取引の中心にあります。受注は納品書・売上請求・資材要求・保守の各取引と連携しており、受注を通じて顧客との取引全体の履行状況を追跡できます。"
"# Selling Settings

CRM and Selling module’s features are configurable as per your business needs. Selling Settings is the place where you can set your preferences for:
 - Customer naming and default values
 - Billing and shipping preference in sales transactions","# 販売設定

CRM モジュールと販売モジュールの機能は、業務に合わせて設定できます。販売設定では、次のような既定値を設定します。
 - 顧客の採番と既定値
 - 販売取引における請求先・配送先の設定
"
"# Selling Settings

CRM and Selling module’s features are configurable as per your business needs. Selling Settings is the place where you can set your preferences for:
 - Customer naming and default values
 - Billing and shipping preference in sales transactions
","# 販売設定

CRM モジュールと販売モジュールの機能は、業務に合わせて設定できます。販売設定では、次のような既定値を設定します。
 - 顧客の採番と既定値
 - 販売取引における請求先・配送先の設定
"
"# Set Up a Company

A company is a legal entity for which you will set up your books of account and create accounting transactions. In ERPNext, you can create multiple companies, and establish relationships (group/subsidiary) among them.

Within the company master, you can capture various default accounts for that Company and set crucial settings related to the accounting methodology followed for a company.","# 会社を設定する

会社とは、会計帳簿を作成し、会計取引を記録する対象となる法人です。ERPNext では複数の会社を作成し、その間に親子（グループ／子会社）の関係を持たせることができます。

会社マスタでは、その会社の各種既定勘定を設定し、会計方針に関わる重要な設定を行います。
"
"# Set Up a Company

A company is a legal entity for which you will set up your books of account and create accounting transactions. In ERPNext, you can create multiple companies, and establish relationships (group/subsidiary) among them.

Within the company master, you can capture various default accounts for that Company and set crucial settings related to the accounting methodology followed for a company.
","# 会社を設定する

会社とは、会計帳簿を作成し、会計取引を記録する対象となる法人です。ERPNext では複数の会社を作成し、その間に親子（グループ／子会社）の関係を持たせることができます。

会社マスタでは、その会社の各種既定勘定を設定し、会計方針に関わる重要な設定を行います。
"
"# Setting up Taxes

ERPNext lets you configure your taxes so that they are automatically applied in your buying and selling transactions. You can configure them globally or even on Items. ERPNext taxes are pre-configured for most regions.","# 税の設定

ERPNext では、購買・販売の取引に税が自動で適用されるように設定できます。全体に対しても、品目ごとにも設定できます。主要な地域については、あらかじめ設定が用意されています。"
"# Setup Routing

A Routing stores all Operations along with the description, hourly rate, operation time, batch size, etc. Click below to learn how the Routing template can be created, for quick selection in the BOM.","# ルーティングを設定する

ルーティングには、作業の一覧と、その説明・時間単価・作業時間・バッチサイズなどが保持されます。部品表からすぐに選べるルーティングのテンプレートを作成する方法は、下記を参照してください。"
"# Setup a Warehouse
The warehouse can be your location/godown/store where you maintain the item's inventory, and receive/deliver them to various parties.

In ERPNext, you can maintain a Warehouse in the tree structure, so that location and sub-location of an item can be tracked. Also, you can link a Warehouse to a specific Accounting ledger, where the real-time stock value of that warehouse’s item will be reflected.","# 倉庫を設定する
倉庫とは、品目の在庫を保管し、各取引先との入出庫を行う場所・保管庫・店舗を指します。

ERPNext では倉庫をツリー構造で管理できるため、品目の保管場所とその下位の場所まで追跡できます。また、倉庫を特定の会計元帳に紐づけると、その倉庫の品目の在庫金額がリアルタイムに反映されます。"
